詞條,解釋
合合,恰如其數，不少也不多。
甘甘,類似甘草令人回味的味道。
敢有,真的有嗎？疑問之詞。
敢怕,或許，疑問之詞。
敢係,真的是嗎？疑問之詞。
徑背,範圍之外。
挭挭杈杈,形容妨礙多多。
挭手挭腳,礙手礙腳。
交干,交易。也寫做「交關」。
交工,交換工時。就是「換工」。
交陪,交往。
交臊,男人挑逗女性而發生不正常性關係。
膠膠,濃稠狀。
攪躁,打擾。
該斯,那可是。
該毋斯,難不成。
記才,記憶力。
記認,記號。
寄付,贈予。
寄雨,避雨。
寄岩仔,把先人的骨罈暫置一處，待將來擇地擇期建墓時再安置。
寄草牛,帶著前夫之姓隨母改嫁，寄生於新父之家的孩子。
佢兜,他們。
佢這兜,他們這些。
唊嘴,謂話多而說不停貌。
唊唊滾,話多的樣子。
浹浹,苦澀的樣子。
遽遽,快一點快一點！催促的語氣。
鹻鹻,微澀的樣子。
兼兼仔,形容很接近。
撿錢,取錢或付錢。
撿採,如果，萬一。
撿輕,接生，或作「減輕」。
撿揫,收拾整理。
撿兜食,撿到便宜有得吃的意思。
撿兜做,工作很多有得做的意思。
撿兜聊,間充裕有得休息的意思。
撿兜餓,猶如說經常挨餓。
鏡鮮,形容水清澈，鮮潔透底，如鏡可照人。
驚山,因環境寞生或孤單而生恐懼。
驚生,怕生。
驚怕,恐怕。
驚死,怕死。
驚鬼,怕鬼。
驚風,怕風。
驚撓,怕人捉弄搔癢。
驚生份,對陌生人或環境的恐懼。
驚拔拔仔,驚怕的樣子。
驚鹿鹿仔,驚怕的樣子。
驚驚忸忸,形容驚懼畏縮的樣子。
驚驚險險,形容驚懼可怕的樣子。
頸跔跔仔,縮著脖子的樣子。
頸橫橫仔,桀驁不服的樣子。
頸偏偏仔,桀驁不服的樣子。
頸鋸鋸仔,形容縮著脖子的樣子。
頸墩墩仔,容脖子又短又肥的樣子。
噭噭滾,1.形容連續叫聲。
恄恄惇,顫抖。
雞公,公雞。
雞紅,雞血，又叫「雞衁仔」。
雞卵,雞蛋。
雞盲,即夜盲症，雞和一般鳥類在晚間則視力衰減，故稱夜間不能視者為「雞盲」。
雞髀,雞腿，雞體之半片，去頭去腳之稱。
雞袪,驅趕雞鴨的竹器。用一截竹竿，一端留握把，另一端破開八片，手持握把擊地作聲，以驅趕雞鴨等。
雞嫲,母雞。
雞仔,中雞。
雞鵠仔,未成熟的小雄雞。
雞僆仔,尚未生蛋的雌雞。
雞紅,雞血，又叫「雞紅」。
解解,把東西的本質完全蒸煮出來。
結舌,口吃，見「鴃舌」條。
結結,形容很結實得樣子。
結數,結賬。
鴃舌締碓,形容口吃，說話很不順。
弇微微,蓋得密不透風。
弇塞塞,完全遮蓋。
見本,樣本、樣品。
見冰,以冰塊接觸物體。
見笑,1.羞恥。2.害羞。
見擺,每次。
見烏洗,不分青紅皂白一律清除。
更係,猶言「倒是」、「豈是」。
峎背,山脊背後。
峎頂,山嶺之最高處。
肩胛落落,肩膀鬆脫下垂的樣子。
肩胛,肩膀橫斜的樣子，形容傲慢得意貌。
肩頭聳聳,肩膀聳起，形容驕傲得意的樣子。
肩衝衝仔,肩膀聳起，形容驕傲得意的樣子。
堅皮,表皮變有韌性。
堅堅,因水份蒸發而變堅韌的樣子。
間肚,房間裡。
間門,房門。
間背,房間背後。
間房,房間。
揀食,挑食。或作「簡食」。
簡賤,輕視。
簡肥擇瘦,肥的挑，瘦的也挑，謂過份挑剔的意思。
簡簡擇擇,東挑西選。
捲下仔,整個，全部。
捲封株,謂一體成形的作品。
叫眵,哭泣。
叫垂垂,哭泣不止的樣子。
叫豺豺,厲聲哭泣不止的樣子。
叫眵嫲,指愛哭的女人
叫襤濕褸,謂哭得一把鼻涕一把眼淚。
嬌尸,形容嬌柔態。
嬌遽,嬌小而矯捷。
嬌雞仔,喩弱勢者仗勢著他人的同情心侍寵而驕。
嬌尸沷沷,是說很會撒嬌。
狗牯,公狗。
狗嫲,母狗。
狗打屁,喻沒有價值的話。
狗挷犁,喻力無法勝任，亂衝亂撞。
今晡日,今天。
今暗晡,今天晚上，是「今晡暗晡」的簡說。
金金,形容亮晶晶。
金皙皙,亮晶晶。
金若若仔,亮晶晶的
金晶積亮,形容金光耀眼的樣子。
逕直,1.一直。2.直截行事。
逕直上,一直往上。
逕直落,一直進去。
筋筋,形容細瘦，如一根筋狀。
緊性,性急。
緊緊,趕緊。
緊顫,一直發抖、抽搐。
緊惇,一直在發抖。
緊拚拚仔,形容非常急迫。
緊促促仔,匆忙的樣子。
緊衝衝仔,急迫催促的樣子。
緊躁躁仔,急躁的樣子。
緊做緊看,邊做邊看。
緊來緊慘,越來越糟糕。
緊去緊壞,越來越糟。
緊看緊靚,越看越美麗。
跏跏九九,形容長而彎曲的樣子。
腳趾公,大腳趾。
腳趾罅,腳趾間的間隙。
腳脥下,胯下。
腳浮浮,站不住的樣子。
腳胠胠,兩腿張開的樣子。
腳惹惹,腳翹起張開的樣子。
腳跔跔,縮曲著腳。
腳脛脛,小腿裸露的樣子。
腳跛跛,跛腳。
腳束束仔,不敢放開步子走的樣子。
羌羌,形容人長得細小瘦瘦的樣子。
羌筋,喻細瘦的樣子。
羌筋臘,形容人長得瘦小體弱。
跔跔蜍蜍,畏縮不前的樣子。
跔蜍跔蜍,畏縮不前的樣子。
趜力,暗中使力。
趜心,心中有苦藏在心中不願說出。
趜屎,喻態度傲慢不理人。
趜心事,積怨在心中不願說出。
趜外外,漠不關心貌。
趜四六,猶言裝模作樣。
趜屎砰天,猶如說「傲氣沖天」。
謹謹仔,謹慎小心地。
弓大,撐大，擴大。
弓闊,由內向外使力，使之加寬。
拱拱,拱起彎曲貌。
拱背,背彎曲。
過宕,指時間的延宕。
過身,去世。
過面,維持面子，使之有光彩。
過房,過繼給兄弟做兒子。
過背,1.事後。
過,過頭。
過封,超過界。
過家,串門子。
過桱,超越界線。
過詐,過難關了。
過鉈,移向另一個處所，做同一類的事情。
過槽,豬隻移往他槽就食。
過潦,1.果實過熟。
過嘴,猶言說嘴，評論。
過願,過癮。
過晝,1.過了中午。2.太遲了。
過鉸,過頭，過度。
過家聊,到他人的家中閒聊，即串門子。
過家貓,不安守在家的貓。喻責備媳婦到處亂跑像野貓一般。
過路朘,罵人野種。
過溝菜,蕃藷葉的美稱。
過頭話,太過自滿自信而傷人的話。
過樹鳥,這棵樹棲息一下那棵樹棲息一下的鳥。喻這個人抱下那個人抱一下的小孩。
過篼豬,在自己的地方不吃，到別人的地方才猛吃的豬。喻到別人家才有好胃口的小孩。
過晝缽,謂超過中午時限太多。
過毛,罵人的話。是說毛髮化滅掉，猶言「屍骨無存」。
過毛絕代,罵人的厲語。是說「橫屍野外，連毛髮也化滅；斷絕後代，連子孫都斷絕」。
高不將,1.高的不將，低的不就，只好將就。2.不得不。
高臞臞仔,高而瘦的樣子。
高溜高溜仔,略微高而瘦的樣子。
膏嗟,柔性脅迫他人接受。
滒渧,糾纏不放的樣子。
滒滒,黏稠的樣子。
滒滒渧,不乾脆、糾纏不清的樣子。
該免,容易。
該死,活該。
該哉,幸虧。
該當,應當。
該暢,活該。
胲哊哊仔,張口想吃，流口水的樣子。
胲砣砣仔,頷下肉下垂的樣子。
胲嗙嗙仔,臉紅脖子粗，一副怒氣無從發洩的樣子。
胲滿肚飽,形容非常飽足（貶義）。
醢醢,形容又舊又皺。
干礙,冒犯妨礙。
乾單,只好眼巴巴的。
管捉,管理約束。
館仔,監獄、拘留所。
趕燒,1.趁熱。2.乘勢。
講千講萬,1.以千萬論。
講漦講濞,謂儘說些無意義的閒話。
講到食粥,謂說得很容易。
講到嘴滑,猶言說得口乾舌爛。
講到臘卵,謂說得圓滿無缺。
故所,所以。
姑嫂,小姑與嫂嫂。
孤老,孤僻、不合群的意思。
掛吊,牽掛，懸念在心。
掛紙,掃墓，客俗祭掃祖墓時，將黃嘏紙掛於墓碑上。
掛掃,掃墓。
瓜鬼,諷喻個性孤癖，不許他人亂碰觸的人。
胍肚,謂腹部鼓起。
寡寡,大都是。
砉爛,破爛不堪的樣子。
砉硬,很堅硬貌。
砉酥,乾而脆的樣子。
砉精,很精明的樣子。
砉燥,燥而硬的樣子。
砉懶,很倦怠的樣子。
乖莊,溫順端莊。
綻卵,青蛙產卵，引申為連綿成串的樣子。
慣慣,習慣了
關囹仔,禁監、坐牢。
弳弳,鼓凸貌。
骨惹惹,形容瘦骨粼粼。
骨射射,形容人很瘦骨外露貌。
蟈蟈,鼓鼓的，膨脹如青哇的肚子。
狺狺滾,狗連吠聲。
耿耿,剛直不隨和的樣子。
汩汩滾,水聲咕嚕咕嚕的樣子。
淈渾,形容水非常渾濁。
歸日,全天、整天。
歸堆,整堆。
滾水,開水。
公太,曾祖父。
公婆,夫妻。
孲仔,嬰兒，以嬰兒叫聲取義。
阿𧩣,讚美。
屙尿,解尿
屙屎,解大便
屙屙不不,很骯髒的樣子
屙膿滑痢,喩胡吹亂蓋。
山,山崗頹圮。
矮短,矮胖貌。
烏白,胡來、亂來的意思。由閩南語轉變而來。
惡豺豺仔,兇惡如豺狼。
惡桀桀仔,兇惡的樣子。
惡擎擎仔,兇惡欲打人之狀。
愛講罔講,姑妄言之。
下數,指數目的多少。
下二擺,下一次。
下把仔,有時，偶爾。
下膈,肚子的底層。
下晝頭,下午時分。
蝦公,蝦的總稱。
下貨,卸貨。
下下來,把物品卸下來。
合合上,急著想要，猶言「興致沖沖」的。
狹之狹極,形容很狹窄。
瞎目,瞎眼。
卵,睪丸。
嚇著,受到驚嚇。
懈懈怠怠,謂做事怠惰拖延。
喊人,晚輩對長輩的問候。
喊得應,謂立即見效。
憨媸,謂不加理智分析，直性果敢的
憨之憨搭,謂不加理智分析，亂管閒事。
含等,叼著。
涵空,涵洞，水管孔道。
鹹淡,1指食物之鹹度。2指醃漬過
鹹菜形,比喻很好相處之人，猶如鹹菜
鹹纖鹹纖,略帶鹹味。
啣草做竇,啣草築巢。
限透,極限。
限勢,限於情勢已經....。作連詞用，常以「限勢…又還…」連結使用。
閒情,沒用的，或多餘的事情。
閒綽綽,形容悠閒的樣子。
閒神野鬼,喻無所事事、游手好閒的人。
閒時閒節,平常沒事，沒遇上節氣的日
閒錢補笊簍,謂做無意義的事。笊簍：竹或藤編的漏勺。
還生,還活著。
還慶,很能幹。
還朘,實在傻，罵人被利用而不知。
還生趣,真有趣味。
還衰漦,真倒楣。
還罅擺,真是夠受了。
罕得,很少。
脝水,含水多的樣子。
坑壢,山谷水溝。
行山,地層滑動。
行涼,散步。
行踏,行為舉止。
行往前,走上前。
行看啊,1走一趟試試看。2試著當仲介。
行灶下樣仔,1謂往來頻繁。2喻非常熟悉。
好喋,愛誇口吹牛。
好詏,愛爭辯。
好鬥牛,喻好與人爭鬥的人。
好擳擳仔,興沖沖的樣子。
好展無漦,喻喜歡賣弄卻沒有真本事。
浩漦,謂虛構或誇大其詞的事。
涸涸,乾枯的樣子。
嘿嘿滾,形容聲勢浩大。
浩洪斗雨,傾盆大雨。
黑天,謂對某事全然不知。
焓燒,燙熱的感覺。
喊燒,1是說分不到一杯羹，叫一叫，過
喊毋應,叫不應。
喊聲胲,大聲叫喊。
含蔘,1含著人蔘。2喻拚老命作工。
含燒火,又燙又辣，難以忍受的樣子。
緪斗,形容工作繁重。
緪繃繃仔,形容經濟拮据，或事情緊迫。
肯,慣於，熱衷。
後斗,後臀。靠山。
後叔,繼父。
後撐仔,後輩，稱呼年輕的後輩。
後壁山,靠山。
後生窈窈,形容年紀還很輕。
喉嗹頭,喉嚨。
喉死目死,一副可憐的樣子。
猴,猿屬動物。精巧。精明兇悍，
口訣,口傳之訣竅。
口頭項,口頭上。指要徑地帶。
口涎波沷,口沫橫飛。
氣杳杳仔,氣息微弱的樣子。
氣噴噴仔,氣呼呼，很生氣的樣子。
棄嫌,嫌棄。
戲棚頭,在正式戲文未演出之前所做的表演，通常以詼諧押韻的語言演出。
去得,可以去。可以消受。
嘻嘻哈哈,嘻笑玩樂，快樂度日的樣子。
虛虛,脆弱，孱弱的樣子。
虛懸,懸疑性。
起工,工作開始。宴請工人的特餐。
起性,發性、發狂。
起肩,挑扛重物時，起身的時候。指
起磅,磅秤桿翹起，喻興正濃。
起風,颳風。事情高速運轉中。
起赤痧,兩眼充血，激情發狂的樣子。
起腳走,用力快跑。
起戇面,生氣，翻臉。
起空起榫,惹事生非，造謠生事。
喜客,給客人有好感。
閕,披散。張開。
閕掰,誇耀而神氣的樣子。
匧私胲,存私房錢。
匧仇匧恨,把仇恨藏在心中，伺機報仇。
卻卻,翹起的樣子。
嫌人,說人長短。
嫌毋得,謂很好，沒有可批評的地方。
嫌到臭屎,批評得一文不值。「屎」有時諱言而
險險,好險，差一點就…。
曉得,懂得。
翕翕,悶得無聲無息。
翕相,照相。
熻熻,悶熱。
熻人,向人挑釁。激使他人。
血筋,血管。
血漬漬仔,血流很多的樣子。
血流血濯,血流很多的樣子。
歇睏,休息。
現現,顯露的樣子。
現下,現在，當前。
現大耳,出洋相。
羴頭異重,謂傲氣十足。
玄玄風,謂突如其來的事。
絃索,琴的絲線，又指演奏琴的技巧。
顯顯,很明顯的樣子。
公,蚯蚓。
翹擔,兩端上翹的扁擔，別於兩端下垂的
翹峨翹棟,是說屋宇高大，屋脊兩端上翹。
梟心,心存非份，想要貪得。
梟兄騙弟,欺騙兄弟。
梟人梟自己,想以欺詐手法從他人處得來，最後自己會得到惡果。
翹卻,平面板狀物，翹起一邊的現象。
媱尸胐,指為取悅他人而多事的人。
媱妮妮,搔首弄姿很騷包的樣子。妮，有ni、naiˇ二讀。
翕翕,低矮沉悶不通風的樣子。
翕豆芽,把豆類的種籽灑水並悶蓋著，使它
興頭,興致。
興嘟嘟仔,興沖沖的。
人,怒視人。
形投仔,神情儀態。
慇慇,頭暈痛。
慇頭疺腦,頭昏腦脹。
釁棍棍仔,充滿驕氣的樣子。
揟巴掌,以巴掌批臉頰。
靴背爪癢,隔靴搔癢。
香油,1用豬油、香蔥油炸而成的佐料。2
香心骨,線香的骨幹。一般係指線香燃燒過
香絲樹,即「相思樹」。此樹葉及花帶有香味；花，黃色細小，常掛絲落下。
香袋仔,承受香火象徵靈魂歸位的袋子，通
香馞馞仔,香噴噴地。
享豐,指享受豐裕的生活，當形容詞用。
響炭,木炭中之上等者。在木炭出窰時，
朽歿,腐朽。
畜衰人,養了他會倒楣。
畜閹牛,公牛被閹割時，休養期間不事工作，只接受供養，喻指吃閒飯而不工作的人。
兇鬼,比喻饞嘴搶食的人。
兇呷呷仔,貪食猛吃的樣子。
胸斗,胸部。
胸挺挺仔,胸脯挺出的樣子。
兄弟仔,1同胞兄弟。感情好如兄弟般的
雄頭,雄壯威武的樣子。
雄繃繃仔,精力充沛，躍躍欲試的樣子。繃，又音（bang）。
號頭,號碼。
號位仔,先行佔住位子。
耗造,不愛惜物資。
呵呵啊,用口氣哈一哈。
炣炣啊,用熱氣蒸一蒸。
耗爽,耗損。
耗日仔,消磨時日。
炣日,太陽輻射之熱氣。
何麼死苦,何苦來哉。
河壩,河川。
河乾水斂,河水乾了，潭水也枯了。
好空,指有利之事。
好膽,有膽量，不怕。
好勢,完成，完善，妥當。
好屌,鄙語，猶言「有種的話」。
好肚笥,謂婦人生的兒女很有成就。
好嘴斗,胃口好，不挑食。
好嘴碼,嘴巴甜，很會與人問好。
好好恬恬,1突如其來的。2猶如說「好端端
好衰毋衰,指壞運氣，真倒楣的意思。
好適適仔,是說很適切，最好不過的，猶如說「好端端的」。
渴渴,人畜極度口渴，元氣耗盡的樣子。
學精,增廣見聞。
學話,指傳播謠言，說人壞話。
學嘴學鼻,模倣他人的語氣說話。
熇燥乾,烤成乾。
熇蝦公,1乾煎蝦子。2喻在烈日下極為乾
害子害孫,禍害子孫。
頦鰓,1鰓。2指人的腮下巴。
喝喝咄咄,厲聲叱罵。也說（hodˋhodˋdodˋ
汗臊,汗臭味。
汗沛沛,汗涔涔，汗流很多的樣子。
汗流脈落,汗流浹背。
捍等,撫著，守護著。
旱水,把水引入或放出。
寒天,冬天。
寒著,感冒。
寒毛菇,1雞皮疙瘩。短細毛。
寒囉囉仔,形容寒冷。
床,起床。
凳,從椅子上起來。
起來,立起身來。
轟轟飛,嗡嗡地飛。
轟天轟地,聲響喧天。
妔人,懷孕，即「擐人」。
行貨,大批出產不求品質的物品，引喻為
異肯,很樂意、經常
異好食割,喻容易好收的事。
異會著仔,讓人覺得很愛現的樣子。
衣衫襤褸,形容衣著破爛。
移徙,移動，搬遷。
寅時卯時,隨時。
倚恃毋得,不能信賴。
雨毛仔,毛毛雨。
夜摸仔,指晚間工作的人。
落落仔,因不受重視而灰心的樣子。
也係,也是
抑係,或是。
野屎,罵人的話，猶言雜種。
扡爪,形容動作勤快敏捷。
扡米,抓一把米。
扡壁,用手抓牆壁。喻求助無門。
扡著屎,手抓到屎。喻欲得反失，求榮得辱。
這下,現在。這次。
這兜,這些。
這搭仔,這一帶。
這駁仔,這一段時間。
腌著,因過鹹而受傷害。
腋舍,利用正屋邊牆搭建的矮小房舍。
擛手,招手。
蝶仔,蛾類昆蟲。
掞粉仔,撒粉。
掞掞動,上下抖動著。
閹牯,去勢後的公牛。
閹雞,去勢後的公雞。
剡空,挖孔。
鹽生,把食物用鹽醃漬片刻後生吃。
簷頭下,屋簷下的空間。
掩土,用土掩埋靈柩的下葬過程。
掩人面目,遮住不被看到，讓人不會難堪。
膁骨,肋骨。
縈線,把線收捲起來。
贏面,佔優勢。
影戲,電影。
影影熠熠,亮光閃爍貌。
眏著,不經意的看到。
眏啊過,看一看。
枵儸,謂飢餓之人。
熠熠燁燁,火光閃爍貌。
翼胛,翅膀。
翼翍翍,形容雙翅外張微垂的樣子。
翼尾仔,翅膀的尾端。
一心,1一片植物枝梢的嫩葉。2全心全意。
一線,全部。
一擺,一次。
一輪,一趟或一圈。
一樖,一串。
一廿,拇指與食指張開的長度，約二十公分。
一大嶂,喻很多。
一下半,一會兒。
一抹殺,通通，全部，包括一切的意思。
一哪仔,到處。
一摝水,混合在一起，不加細分，猶如說「一概而論」。
一晝邊,大約半個白天的時間。
一直落,1一直進去。2稱建築物一整排。
一對時,二十四小時的時程，即一晝夜。
一尋長,兩臂所張開的長度。
一條線,喻專注於某一事。
一屋家,整家。「家」受前字音影響說成
一接眼,乍看之下。
一下半下,1偶爾。2一會兒。
一日到暗,從早到晚。
一年透天,一整年。
一色青天,猶言晴空萬里。
一五一十,詳詳細細。
一付一當,一件對一件配置好好的。
一隔一跳,謂彼此相隔不連接。
一家一務,各人有各人的事務，不必干涉他
一時八刻,是說整個時辰。一個時辰有兩個小
一心打兩意,心意舉棋不定。
一雷壓三颸,下雨時若有打雷，便不會有颱風。
憶等,記掛在心。
掖頭,喻事之開端。
掖菜仁,播撒蔬菜種籽。
掖麻掖米,形容數量之多，遍地都是。也說「掖
弛走,向外滑動。
弛崗打陣,喻成群結隊而來。
液液,物體呈黏稠狀。
液漦,謂怒火中燒。
液滒汁帶,滿是汁液弄得到處都是，看起來黏
液液溚溚,滿是汁液，濕漉漉的樣子。
蝓螺仔,動物名，即蛞蝓。
越勢,越來越……。
揭空仔,挑剔他人毛病。揭發他人陰
挖窟仔,挖洞。
怨怪,埋怨與責怪。
煙涵,煙囪，燒火時排煙的涵道。
煙仔,濃煙漫布的樣子。
煙囪出火,喻事情已經發生了才表態，來不及了。
菸筒頭,長菸斗放菸絲的部位。
冤牽,是非困擾。
冤家比背,形容常常吵架打罵。
掀書,翻開書。
掀蕃薯藤,把蔓生的蕃薯藤提起，以利施肥或
延延纏纏,拖拖拉拉，拖延耽擱時間。
園背竹筍,指外甥。
圓身,軀體。
圓廟,新廟落成。
圓扁嘴,1形容說話立長搖擺不定。形容
圓律律仔,形容很圓的樣子。
緣首,又稱福首，祭拜祈福時，負責收取
鉛線仔,鉛線，鐵絲。
蜒著,被蟲毒灼傷。
要緊,急切重要。
鷂婆,指老鷹。
鷂角仔,即鳳頭蒼鷹，猛禽，比老鷹小，專
夭夭,略帶水分而柔軟貌。
夭滒,膠稠狀。
夭漿,較稀的膠狀體。
夭膏膏,爛泥巴一樣軟軟的。
夭夭,形容像爛泥巴一樣的軟軟的。
腰拑背吊,形容勞累得站不直的樣子。
搖搖噹噹,鬆脫搖晃的樣子。
蔭豉,即豆豉。
任在你,任由你去做。
淹水,灌溉。淹水。
淹田,引水灌田。
淹著水,被水所淹。
陰著,暗中想成…。
陰痛陰痛仔,隱隱作痛。
應聲,回音。
印印,受小硬物頂觸的感覺。
印色,印泥。
屻崗,山陵。
因由,原因。
因爭,因為。
應承,答應承諾。
浴浴,濕透的樣子。
浴堂,浴室。
藥癠,敷藥以後引起的皮膚病。
藥炙仔,煎藥的罐子。喻常生病吃藥的
哊乳,吐奶。
樣仔,樣子。
樣相,樣子，態度，形相。
秧仔,秧苗。
秧地,秧苗的場圃。
秧盆,秧船，插秧時裝秧的盆子。
秧仔畚箕,裝盛秧苗的畚箕，空隙較一般畚箕
養子,稱動物生子。領養的孩子。
養屍地,屍體埋葬後，經若干年仍不腐爛的
養蛇食雞,姑息作為，喻鄉愿作風。
癢揶癢揶,癢癢的樣子。
羊子,小羊。
羊牯,公羊。
羊嫲,母羊。
羊噦,羊鳴叫。羊有時常鳴叫的特性，故用以形容動不動就哭的情形。
羊角仔,菱角，因其狀似羊角。
羊頭仔,指自行車的把手，因其狀似羊頭。
羊仔屎,喻斷斷續續而來。
洋田,平坦開闊的田，指質地較佳的田。
洋刀仔,西式小刀。
洋洋漾漾,水流不止的樣子。
揚尾仔,蜻蜓，因蜻蜓飛時尾巴時常向上揚起故名。
揚蝶仔,蝴蝶。蝶，音（iag）。
揚蝶嫲,稱活耀愛現的女人，多用於貶義。
瘍癧,因皮膚癰爛而引起的淋巴腺瘤。
又畏又好,又想要又害怕。
又好叫又好笑,哭笑不得。
右手析,右邊。
幼幼,細細的，微小的。細緻而光華。
幼工,精細之工作。作工細緻。
幼秀,清秀、精細。
幼骨,細骨。謂體形骨架細小，其對稱為
幼席,比較精緻的筵席料理。
幼幼仔,細細的，微小的。
有無,有或沒有。問句，有嗎？
有額,有份。
有挷水,雙方旗鼓相當，有得拚。
有剝削,有希望，有利可圖。
有成時,有時候。
有身項,有身孕。
有限透,很有限，不如預期的好。
有來有去,優游自在，樂在其中的樣子。
有手有腳,活像真的。
有多不少,很多。
有樣跈樣,有樣學樣。
由在人,任由他人…。
油氣,油味。肉類菜餚。
油鏡,油在水面上所生的一層亮亮的薄
油盎仔,盛油之瓶子。
油垢癠,脂漏性皮膚炎，嬰兒容易感染。
油漬漬仔,油膩膩的。
油脂帶,形容滿身油膩污垢。
游壁,謂小兒扶著壁學走。
遊遊野野,遊蕩無所是事。
猶猶不決,猶豫不決。
柔柔仔,從容不迫的樣子。
運數,運氣。
運轉手,司機。
潤潤,濕潤的樣子。
潤喉,滋潤喉嚨。
潤轉來,以吉祥話斡旋過來，化不祥為吉。
雲下日,喻酷烈。
勻勻仔,均勻的速度。
勻日仔,騰出日子來。
用扐,抱持。指剖腹生產。
用事,寺廟神壇中乩童作法的過程。
壅泥,培土，用泥土覆蓋。
壅塞塞,蓋滿，完全蓋住。
壅塵打灰,覆蓋了一層灰塵。
容縱,縱容。
榮榮,形容草木枝葉茂盛。
熊熊,形容火勢猛烈的樣子。
祭衰人,丟人的面子。
嚌嚌啾啾,形容量多而嘈雜之聲。
漬水,用紙或布吸水。
漬燥來,用紙或布把水份吸乾。
擠擠揫,聚集在一起。
姊妹錢,女子出嫁時，分給姊妹的錢，即「袂儀」。
借歇,借宿。
借神絡食,假借神的名義來謀取利益。
斜斜,無能的樣子。
姐公,外公。
姐仔,妻子。
輒輒,常常。
接眼,乍看之下。
接嘴,插嘴。
接腳个,指繼室或繼夫。
接啊著,剛接觸到不久。
績線,紡紗。
佔位仔,占據座位。
佔先行,搶先。
尖尖,形容銳利的樣子。
尖燒,擠進人群中湊熱鬧。
尖落去,強力插入。
尖牙利齒,1形容尖銳的東西。2指人說
蘸水,沾水。
蘸菜,1用氽燙以沾醬料來食用的
蘸藥指,無名指。
蘸豆油,沾醬油。
漀漀,傾斜。
漀走,傾斜了。
漀燥,傾斜容器使裡面的水流乾。
漀淨淨,倒光光。
猜拳,猜拳，音由日語而來。
腈豬肉,豬的瘦肉。
靚媸,美與醜。
靚裝,1謂打扮得怪里怪氣的。2喻糟糕了。
靚種,謂個性怪里怪氣的。
靚膩膩仔,形容粧扮美麗的樣子。「膩」又音（ni）。
井下,水井周圍的地域。
井唇,井邊。
瞧毋得,難看死了。
鳥鳥仔,稱小男孩之生殖器（乳語）。
啾嚌,指人挑剔、不隨和的樣子。
勦忒,消滅掉。
漬紅,形容很鮮紅。
漬漬灂灂,水多互激而發出的聲音。
嘖嘖啐啐,細語不斷的樣子。
肢胳仔,腋下窩。
揤覆菜,用棍棒把「覆菜」擠壓進灌子
積儲,積蓄，儲蓄。也作「積貯」。
即靈,機靈
薦盒,神前供擺茶杯的禮器。
箭日,形容陽光直射的樣子。
箭等,光線直射著。
踐等,用腳向前蹬支撐著。
責人,1用棍棒牴觸人。2用言語責
踐車仔,踩車使動。
責罰,懲罰，指神明之責罰。
餞糖,食物加糖處理的一種方法，如蜜
揤落去,插入或刺入。
煎煎,形容熾盛的樣子。
煎卵,煎蛋。
剪著,1被占便宜了。2著力不平衡。
剪刀鉸,植物名，桔梗蘭和射干兩種，
剪罶仔,扒手。
浸死,淹死。
浸酒,把物品放入酒中泡漬。
浸青,形容很青綠。
浸浴來,浸入水中讓它濕透。
浸穀種,把穀子泡水讓它發芽。
唚嘴,親嘴。
唚唚,彼此頻相親嘴，形容親暱的樣子。
進前,1前進。2指先前的時際。
進金,修建墳墓時把骨罈放入墓穴
進塔,把骨灰放進靈塔內。
精米,碾糙米成白米。
精精,很精明。
精食,形容人專挑好的來吃的習性。
