詞條,解釋
怕會,揣測語氣，也許會
扒飯,以箸將飯送進口中嚥食。也寫做「划飯」。
爬床扡蓆,形容病床上的人極端痛苦的情狀，以手抓床拉蓆。
拔蚊仔,揮趕蚊子
拔翼,拍打翅膀
拔塵灰,拂去灰塵
鍊,項鍊
潑汗,大量發汗
潑血,大量出血，即血崩
撥涼,用扇子搧風使涼
撥扇仔,揮動扇子
撥火,以扇子搧火使著
伐草,砍除草木
白拂,白吃或白白被打
白行,白走一趟
白頭公,白頭翁，一種鳥，頭頂白色
白面仔,即白腹秧雞，俗稱「補鑊鳥」
白翼仔,即八哥，色黑，展翅時翼下露出白羽，故名之
鮊哥仔,鱲魚的一種，淡水河中一種白色細鱗的魚。俗稱「溪哥」
敗家,1.耗盡家產。2.浪費
稗仔,粟類植物，長於稻田中，莖葉形似水稻，實如粟。
敗勢,不好意思
派頭恁粗,架勢那麼大
排場,舖張，場面熱鬧
盼得,捨得。
翻死,形容輕易的把人打倒
盤水,將水從甲容器舀到乙容器中
盤車,轉換車輛
攀擎,善於翻騰跳躍，形容頑皮
攀籬吊壁,翻越籬笆，爬登牆壁。
冇卵,無精卵
冇冇,1.不充實的樣子，如「穀冇冇」。2.喻做人不實在
冇輕,重量很輕的樣子
匉勻來,分開使之均勻
嗙雞胲,1.吹氣球2.吹牛
棚頂高,樓上或棚架上方
拋鹽,在食物上撒鹽後，上下拋動，使鹽味均勻
拋拋滾,沸騰冒泡的樣子
拋花作浪,形容波濤洶湧，猶言「浪花滔天」
跑馬朗朗,騎著馬輕快愉悅的樣子
別人个腳髀挼索仔,喻利用他人，不知分寸。
浮皮面仔,薄薄的表面一層
屁卵嗊天,形容屁聲連連
鼻公,鼻子
鼻香,聞香
鼻屎,鼻中分泌物所結的硬塊
濞流濞竄,謂鼻涕在口鼻間上下流竄
濞著个,以鼻涕黏著固定的。喻不夠堅牢
濞水濫泔,形容鼻水流得很多的樣子
濞流毋知擤,流了鼻涕也不知擦，喻痴呆
呸血,吐血
呸口潾,1.吐口水。2.唾棄
批人,佔人便宜
被骨,1.被胎。2.泛指棉被
皮寒,發燒的人，感覺身體寒冷的樣子
疲爬極蹶,努力掙扎的樣子
肥累累仔,胖嘟嘟
肥湯,高湯
平高平大,一樣高一樣大
平洋,平原
蝠婆仔,蝙蝠
騙人毋識,有什麼稀罕，或自以為了不起
便所,廁所
便菜飯仔,家常菜飯
偏背罵皇帝,喻畏於權勢而不敢當面說，只在背後說人壞話。
便宜又值食,喻物美價廉
便宜無好貨,價錢便宜的東西，往往不是很完好的東西
拼毛辮仔,絞合毛髮以成髮辮
乒乓,乒乓球
憑筊仔,向神明請示時，依擲筊來定可否
聘等,1.絕對。2.約定。
贌屋,租屋
破病,生病
破柴,劈柴
浮浮冇冇,形容漂浮的樣子
烰菜,1.油炸菜餚。2.油炸的菜餚
背祖,違反祖宗規矩
背僻,偏僻
胚想,猜想、推測
賠命仔,賣命地、拚命地
翻血,大量吐血
翻腸仔,宰殺家禽家畜時，把腸子內面翻出來清洗
膨風,1.脹氣。2.言詞誇大不實
膨線,毛線
膨凳,沙發椅
膨風茶,東方美人茶
豐沛,謂菜餚豐盛。又寫作「澎湃」
䠙上䠙下,來回奔波
老鼠,窺視老鼠的行動
孵卵,孵蛋
步數,1.拳術武藝的招式2.步驟
普帲,整片都是
鋪橋施路,捐錢出力造橋鋪路
符誥,符咒
烳茶,煮茶，指煮開水
烳鏍,炊爨的鍋屬
匍澇,邋遢的樣子
瓠仔,瓠瓜
瓠杓,瓠瓜剖開做成的杓子
普普仔,模糊不很清楚貌
浡欄浡出,溢得到處的都是
伏落去,趴下去
仔,皮面所起的小泡
覆菜,將芥菜醃製後，曬成半乾，擠進瓶甕中，再將甕口封好，倒置保存，久存後，拿來食用，氣味芬芳。雅稱「福菜」，取其諧音。
噴睡,熟睡時打鼾的現象
噴香,形容香氣四溢
賁皮,皮層很厚
歕雞胲,1.吹氣球。2.吹牛
盆頭講到缽,「盆頭」與「缽」是相同的廚房容器。喻用各種不同的說法來說明相同的東西，還是無法理解
蜂糖,蜂蜜
蓬白,形容滿眼都是白色
縫仔,隙縫
續手,順手去做
挱著來,抓起來
奢鼻,1.神氣活現的樣子。2.愛面子、愛現的樣子
嗄,卻
喢飯,吃飯
沙鐐,圓鍬
蛇哥,蛇
蛇過尋棍,事過才來補救，喻錯過了時機
儕儕,每個人
煠蕃薯,把甘藷放在水裡煮熟
眨目,眨眼
閃走,跑掉、躲開
碎,粉碎
舌嫲,舌頭
舌仔,舌頭伸出很長的樣仔
蝕本,虧本
煞猛,努力
煞煞仔,儘速的、賣力的、積極的
石炭,煤炭
石𡟓,民間信仰為守護小孩的神衹。尊為石姆娘娘
石,石頭砌成的堤防。
石跳仔,在水中間隔擺置用以墊脚行走的石頭。
石碫仔,石階
曬鹹淡,醃曬各種蔬菜
人戇仔,欺騙他人，把人看成呆子
豺蟲,蛔蟲
徙位,移開原來的位子
衫褲,衣服
三八,謂行為不正經
三層肉,肥瘦相間的五花肉
三不二時,偶爾或常常
三隻鼻公空,謂多管閒事
三十暗晡个飯甑,自己需要用，無法借給他人使用
三日打魚四日曬網,喻工作時做時歇，沒有持續
糝糝,飯粒不黏的樣子
山排,山坡或山腰
山峎,山脊的稜線
山精,少見世面的人
山狗太,即攀木蜥蜴，棲息於樹枝上
山豬學食糠,喻外行人充做內行事
搧嘴角,打耳光
勯勯,形容人沒有元氣，病懨懨的樣子
生份,陌生
生卵,1.還沒煮過的蛋。2.生蛋
生鹵,生銹
生成个,天生成的，原本是如此的
生食芋仔,生食芋仔•扡胲。喻遇到困境。
生鹵遇捱,形容生鏽生得很嚴重
聲失失,同「聲喑喑」，即聲音沙啞
星光半夜,即「三更半夜」
成時,有時候
城隍廟个蚊仔,喻吝嗇。歇後語，城隍廟个蚊仔•囓鬼
省使,省得麻煩
省儉,生活節儉
省死省命,形容極為節儉的意思
哨仔,響笛
誚誚,冷言冷語，冷嘲熱諷
麵,把麵條燙熟
粄圓,將湯圓燙熟
細姐,小老婆，姨太太
細義,1.客氣。2.小心
細人仔,俗稱小孩子
細妹仔,女孩
細倈仔,男孩
細阿姊仔,小姐
婿郎,女婿
舐嘴擸鼻,把舌頭伸出舔取口邊的餘津，形容吃得津津有味的樣子
嘶胲另命,猶言聲嘶力竭。也作「抽胲另命」
蛞螺仔,蝸牛
洗身,洗澡
洗面,洗臉
洗衫,洗衣
洗碗有相磕,喻相處一起難免會有衝突或磨擦
蝨嫲,1.頭蝨。2.曾孫
生趣,有趣
生理,生意
牲儀,祭祀時所用的牲品
星仔瀉屎,指流星
肖雞,生肖屬雞
笑筊,擲筊時，兩面都呈現陽面，表尚有不足之處
笑哂哂仔,笑嘻嘻的，微笑
兆頭,預兆
消息仔,器械的活門，猶言開關
捎壞話,把壞話轉告他人，以挑撥是非
燒水,熱水
燒金,1.燒紙錢給神明。2.泛指拜神。
燒暖,指天候溫暖
燒氣發冷氣,由高興變得一肚子氣
小可仔,1.稍微的。2.輕微的
小郎叔,小叔。稱丈夫的弟弟
小娘姑,小姑。稱丈夫的妹妹；稱丈夫的姊為「大娘姊」
少人一身債,欠人很多債
少食多香氣,吃得少，便覺得香味多多
尸胐,屁股
尸背尾,背後
示眾,在眾人面前丟人現眼
世大人,長輩
恃等,1.仗著。2.很有自信貌
蒔田,插秧
字墨,指學問
私胲,不被家人所知的私人錢財
思量毋得,不值得同情
蓍茅抹草,驅煞避邪物。俗謂以茅草綁「抹草」泡水滌身可以驅煞避邪
詩句碌碌,說話時常引古書中的文句
師仔,徒弟
師傅話,1.行業術語。2.歇後語
時生月日,出生的年月日時
使人,使喚他人
使錢,花錢、用錢
使梟,使詐
使卒仔,供使喚做差役之人
使狗相咬,從旁煽動，使他人爭吵或打架
駛牛,駕馭牛隻工作
屎出挖糞窖,想要解大便時才來挖糞坑，喻緩不濟急
屎烏蠅,1.紅頭蒼蠅，常停在食物上，令人討厭。2喻喜歡巴結逢迎他人的人
屎出褲帶又打結,急著想解大便，偏偏褲帶打結解不開來。喻急死人了
十二月芥菜,歇後語，十月芥菜•假有心。喻沒有誠意
十二兩翹翹,喻死亡
濕溚溚仔,溼漉漉的
實疊,踏實，紮實
食力,1.很吃力。2.著力
食夜,吃晚餐
食晝,吃中餐
食朝,吃早餐
食酒,1.喝酒。2.喝喜酒
食飯,吃飯
食粥樣仔,像吃稀飯一般容易
食粥攋凳板,喻生活清苦，卻過得自在
食飯打赤膊,【俗】食飯打赤膊，做事尋衫著。謂吃飯時吃得很賣力，工作時卻在偷懶。
食飽毋得飯變屎,責備他人總是做一些無意義的事。
失魂,暈厥
失禮,1.忽略了應有的禮貌。2.道歉的話
識見過,曾看過
聖筊,擲筶時一陰一陽的卦象，示肯定
神投投仔,神情投入，煞有其事的樣子
承水,以盛器接水
承勞,為雇主勞心勞力之人
掃地泥,掃地
挲鹽,抹上鹽巴
唆慫,唆使慫恿
痤痤,精神委靡的樣子
所爭,謂有所差異，也說成(sòzén)。
所費,費用開支
鎖匙,鑰匙
說到企起來,讚譽有加
刷米篩目,舊時製「米篩目」米食，是將「粄粹」用手在「刷仔」上搓壓到熱水中，汆燙煮熟，再用冷水冷卻而成
杓嫲,用瓠瓜剖成兩半，挖空果肉，做成的舀水杓子
縮結,謂精簡扼要
索仔,繩子
索恬,靜寂無聲
睡目,睡覺
睡當晝,睡午覺
衰漦,1.倒楣。2.沒格調
衰鳥遇著狂銃,運氣不好的鳥被亂槍的子彈打中，喻倒楣。
算數,1.結算賬目。2.事情的結果被認定有效
酸澀,指酸酸澀澀的果實
酸丟丟仔,形容很酸的樣子
痠軟,指筋骨痠痛無力
桑仔子,桑葚
上下,1.來往。例句：有上下，正來料。2.大約
上下,1.上面和下面。2.尊卑
上早,早先時刻
上背,上面，指地理方位的北部
上站仔,以前的某一段日子
上橫頭,指尊位
上煎下煏,上下交迫。處在極艱困的環境裡
尚勝,得寸進尺，恃寵而嬌
尚樣,指小孩學壞樣子
傷面,形容作為有失情面，常作形容詞用
上崎,上坡
上教,指學習者領悟力很強
喪忒,死掉，指夭折
上土,農作物成長期間，在其基部添加泥土
上樑,架上樑木
爽本,耗資，有奢侈浪費之義。
爽豐,很懂得享受
素需,樸實簡單而實用的樣子
樹杷,樹的枝葉
樹乳仔,1.橡膠。2.橡皮筋
受氣,生氣，被人或事所激怒
輸贏,1.輸或贏。2.比個高下
收揫,收拾起來
收冬戲,秋收之後，酬神的平安戲
手,手肘及手掌近腕處
手鈪,手鐲
手指腡,指頭的渦狀紋理，指紋
手脥下,腋下
手落仔,手套
手瘸瘸,手不靈光
手抩手扡,胡亂抓取
手扡扡仔,想要用卻沒得用的樣子，猶言捉襟見肘
熟事,熟識
熟面熟面,很面熟的樣子
叔公阿伯,泛指家族長輩
綏忒,布紗鬆散掉
隨在你,任憑你
隨來隨鬥,猶言隨機應對
水沖,瀑布
水打田,大水沖毀田地。
水衣仔,雨衣
水紅色,淺紅色，粉紅色
水粄仔,用米漿蒸成的米糕
水靴筒,長筒雨鞋
水溓忒,水乾涸了
水褲頭,內褲
順帶仔,順便
順得姑來逆得嫂,喻顧此失彼，難兩全
脣項,旁邊
巡田水,查看田裡的水是否適量
送庚,在新生小孩十二天後，準備雞酒送到外家，通報新生兒誕生的訊息，外家則回送嬰兒用品給新生兒，延伸為一般人送新生兒禮物的習俗。
送背銃,事後才誇大其辭的人，猶言馬後炮
送人就無愛,送給人，人都嫌棄。表示物品沒有價值
雙生仔,雙胞胎
雙旋牯,髮旋有雙圈的男子。一般謂此種人比較兇
鬆爽,輕鬆愉快
踏出踏入,躊躇不定、來回走著的樣子
糴米,買米
頸,吊頸、自縊
粽仔,繫粽子。
大細,謂家中的小孩
大箍,胖，腰圍大
大自家,大家
大衿衫,胸前左右交疊側姙的衣服
大頭𢼛,謔稱大頭
大娘姊,稱丈夫的姊姊
大戇牯,大傻瓜
大婆細姐,妻與妾
大雞拑細雞啄,喻受眾人的欺負
递藤,藤類植物莖葉蔓生
刣魚生,切生魚片
探石跳仔,在河床上鋪石頭路，每個石頭之間，有空隙供水流通
探橋,架設橋樑
淡濫淡濫,覺得沒有味道
憚憚,害怕得一直發抖
癱風,中風後癱瘓的病
檀香準柴燒,喻不識貨，將貴物賤用
聽講,1.聽說。2.聽話
聽毋識,聽不懂
廳下,大廳地方，一般指有供奉祖先的客廳
沓沓,密而實的樣子
忒多,太多
手,幫忙
眾,合群，與大家一同
跈等,1.跟著。2.隨即
跈毋著,跟不上
挺挺昂,臉朝上躺著，與「盦盦覆」是相反詞。「昂」音常惰化成(ngó)
透夜仔,整夜
透心涼,涼徹心肺
豆腐肩鴨嫲蹄,謂挑不起重擔走不了遠路的人
毒老鼠,把老鼠毒死
偷偷,暗中夾藏的樣子
偷食毋知捽嘴,喻做壞事留下把柄
頭先,先前
頭前,前頭，前面
頭那,頭
頭路,職業或工作
頭擺,指很久以前
頭家娘,老闆娘或稱主人的太太
頭重輕,擔子一邊重一邊輕，兩邊不平衡
頭沉沉仔,熱衷專注於某事的樣子
頭攋攋仔,低頭而無精打采的樣子
頭頷尾著,1.態度和順有禮的樣子。
頭生仔,指沒有人性的禽獸，是罵人的話
敨氣,1.把氣舒出。2.呼吸。
敨水,摻入水
敨涼,休息一下，使之舒爽
地泥,1.泥土。2.地面
地理先生,勘輿師
剃頭,理頭髮。古時理頭髮用剃刀刮，故稱「剃頭」
剃頭刀仔幫卵,喻驚險萬分
題錢,捐錢時把自己名字寫下，並記載認捐金額
墊頭,把東西當枕頭來墊
墊錢,先墊付錢
添飯,盛飯，裝飯
添放忒,忘了
甜粄,指年糕
悿死吔,累死了
糶米,賣米
挑試,蓄意
挑竻,取出肉中刺
條直,1.正直。2.乾脆俐落
調羹仔,湯匙
跳上跌落,1.跳上跳下。2.忙裡忙外，忙得不可開交的樣子。
迪迪ㄊㄊ,忽進忽止，進行不順暢的樣子
凸凸,突出貌
鐵精,鋼筋
電火,電燈
電毛,燙髮
電線楯,電線桿
電鑊仔,電鍋
天弓,彩虹，虹在天邊彎如弓
天光,天亮
天時,天候、氣候
天光日,明天
天公地當,非常合理，天經地義。
天普普仔,天色模糊，即破曉
天烏地暗,謂上下四方都很暗。
田坵,畦田，一塊田為一坵
田塍,田埂
田頭園尾,泛指田園農事
定定,而已
定定仔,沉著穩定的
定著,一定
停動,1.做動作。例句：鳥子跌啊下就毋會震動吔。2.移動
停鉈,1.停止。2.延遲
渟茶,斟茶
暢蹀蹀仔,形容高興的樣子
忒釅,純度太濃
溜弓蕉皮,1.喻滑了一跤。2.喻落榜。
拖仔,抽屜
拖勻,兩相平均
拖皮,拖延的習慣
拖拖挷挷,猶言拉拉扯扯
拖毋來毋去,1.喻反應遲鈍，呆滯。2.喻態度消極被動。
橢角,長而圓的彎角
陶盎泥,製陶器之泥土
綯牛,以繩索把牛拴在一定點
討食,乞食，要飯吃
討心舅,娶媳婦
討餔娘,娶妻
奪地氣,貼近地面，因以襲取地氣。
脫爪毋得,被糾纏無法脫身
擇菜,挑揀青菜
代身仔,1.替身。2.替死鬼
梯棑,樓梯
推懶,推諉偷懶
斷截,斷掉，斷成兩截
斷烏,天黑了
團魚仔,即鱉，「鱉」與「屄」同音，諱言，又「團」因受連音變化而成「塘魚仔」
揣令仔,猜謎
宕工,拖延工作時間
宕睡,睡覺睡過頭
盪嘴,漱口
糖仔,糖果
糖蜂仔,蜜蜂
渡人,照顧孩子
圖食,貪吃
土狗仔,螻蛄
退紅,消炎
蛻殼,蟲類、爬蟲類蛻皮
鈍槽,指家畜沒食慾
鈍刀嫲,1.不利的柴刀，引申為沒有實力。歇後語，鈍刀嫲•無鋼。2.喻暗藏實力，不可等閒視之。
遁走,隱逃而去
痛腸,形容哀切苦楚
痛仔,形容很痛心
動啊著,1.稍微碰到。2.動不動就....。
同著人,與人通奸
話著,以為
偎靠,依靠
滑鼻,穿鼻的孔脫裂
滑溜,流暢、流利
滑臭屁,放臭屁
斡頭,轉頭、掉頭
斡來斡去,彎來彎去
泧冷,冰冷的樣子
歪哥淒汊,形容歪斜不正
歪怪,自己不需要，看見他人有也想要有的心態
彎斡,指道路或河流彎曲
彎彎糾糾,彎彎曲曲
還山,出殯
還背,禮尚往來
挽上去,掛上去
橫忒,倒下
橫貼貼,完全倒下
橫財,不義之財
橫打直過,橫行霸道
橫樵擎入灶,柴火橫著放進灶孔裡。喻蠻橫不講理肆無忌憚，
撝肥料,施撒肥料
噦噦滾,哇哇叫
畏胲,吃膩了
為非糝做,為非作歹。
窩窟,凹陷處
窩湖,低窪的地方
禾仔,稻子
禾串,稻穗
禾稈,稻草
禾埕,曬穀場
禾鐮仔,割稻子的鐮刀
鑊仔,鍋子
攉忒,丟棄
揋石頭,投擲石頭
煨蕃薯,將甘藷埋置於火熱的灰燼中，使甘藷熟透的過程
完隻仔,整個
碗公,大碗
碗棧仔,餐櫥。也就是「碗櫥」。
往擺,過去的每一次
黃蚻,蟑螂
黃梨葛,植物名，即瓊麻
黃雞灢,黃褐色黏稠的雞大便，奇臭
黃狗曬,如狗仰躺張腿的不雅姿態
黃梨皮摒屎,歇後語，黃梨皮摒屎‧來去割。喻雙重受害。
芋荷,即芋的莖葉，似荷花，故名
芋荷形,謂能賺錢卻存不了錢的人。如荷葉承水，多了一點即傾瀉盡淨
烏青,皮下層瘀血
烏色,黑色
烏陰,陰暗
烏蠅,蒼蠅
烏心肝,指壞心腸的人
烏鈕草,植物名，即龍葵
烏紅,深紅色
烏,指很冷的陰雨天氣
烏疏疏,猶言「黑漆漆」
武夫,形容粗暴不講理
武頓車槌,形容身材粗壯結實
舞麼个,在幹什麼？
搵著,扭傷。
慍悴,心中鬱悶不樂。
屋下,家屋
屋簷鳥,即麻雀
搵豆油,沾醬油
搵地泥,躺、坐在地上或在地上打滾
汶水,混濁的水
炆筍乾,小火長時間的煮筍乾
蕹菜,俗稱空心菜
四柱骨,豬牛羊等四肢的骨頭
四句,在婚喪喜慶的場合，所說有韻的四句吉祥話
四四散散,散落四方，分布很廣
四炆四炒,客家人宴客時的菜色，有四種炆煮和四種炰炒的料理
四腳惹天,四腳朝天
西瓜偎大片,喻趨炎附勢。
死佬,死屍，謂頭腦僵化不知變通
死執,固執到極點
死睡,貪睡不醒
死,罵人貪吃
死鹹,鹹到極點
死無變,謂至死都不會改變
死鴨仔硬嘴,鴨子死了嘴還是硬的。喻強辯
瀉走,溜走
瀉衰人,使人蒙羞
瀉人面皮,丟人的臉
洩水,水滲透出來
洩尿,1.尿忍不住而往外流。2.喻對他人言行不敢苟同。
楔牙齒,塞牙縫
惜入骨,疼愛至骨髓裡，形容極其疼愛
惜花連盆,猶言「愛屋及烏」
錫桶仔,亞鉛板用錫焊接而成的水桶
餳人,誘惑人
餳烏蠅,招引蒼蠅到來
醒醒,1.米食菜餚未熟透貌。2.清醒的狀態。
醒睡,睡覺時警覺性高
漦液,精液
漦濞就毋知,精液和鼻涕都分不清楚。比喻年幼無知。
席面,酒席上菜餚所呈現的狀況
席店,一般對飲食店的稱呼。
息把仔,一點兒，稍微
雪圓仔,湯圓
煽動,用言語誘惑他人
仙仙,喻人漫不經心的樣子
洗水,清澈的水
跣淨淨,脫光光
抋啊抋仔,持續柔性的上下彈動
沁涼,泡入涼水中的感覺
心焦,因思念而難過不安
心舅,媳婦
心肝仔,心肝寶貝
心野野,不能定下心來的樣子
心挖挖仔,一心一意追求的樣子
心肝勃勃飇,因恐懼而心跳加速的樣子
信仔,確信不疑
性體,脾氣
性暴暴仔,謂急躁暴戾的個性
新色,1.新奇。2.時髦
新腳仔,新手
新娘公,新郎
先生,稱有學問有專長的人
先生娘,尊稱「先生」的太太
,呆愚貌
到毋會爪癢,笨得連癢了都不會抓，喻笨極了
相打,打架
相閃,彼此錯開
相唚,接吻
相,發生戰爭
相堵頭,相遇
相打比背,打得不可開交
想空想缺,用心想計謀
蒐上蒐下,到處走動窺視搜尋
修直,筆直
俗拔拔仔,形容很俗氣
詐死,裝死
詐睡,假裝睡著了
詐毋知,假裝不知情
詐戲仔,不是真心的，假裝
遮仔,傘
遮仔節,毒蛇名，雨傘節，又叫「花傘柄」
浙濟,1.濕濘貌。如「目屎浙濟」、「落雨浙濟」。2.糟糕。
砸磳,強壯結實
摺衫褲,摺疊衣服
拶拶,很密很擠的樣子
拶腹,實心
紮稈,紮稻草
折福,不愛惜擁有的幸福
摘茶,採茶
炙茶,燒開水泡茶
矺年,1.壓歲。2.事情積壓，拖過新年
齋蔬,素食供品
齋公仔,非正式和尚，指未出家剃度的道士
湛斗,很好，很優秀
秥米,在來米，較沒黏性，有別於蓬萊米、糯米
嶄然慶,十分能幹
孱孱,養而不長的樣子
蹍前,提前
蹍腳毋歇,無法駐足
正到,剛剛到
正板,1.正統。2.端正
正來聊,原意為「以後再來敘一敘」，今已成與朋友或客人分手時的道別應酬語，猶如說「再見」。
爭生理,搶生意
笊簍戽水,喻徒勞無益
燥尾,毒蛇名，即青竹絲
燥絲絲仔,指草木缺少水分，沒有光澤的樣子
爪癢爪出血,施為過當，反而變成傷害
浙水,以腳踩水嬉戲
撮鹽,以手指抓鹽
側膁,側邊
砧枋,砧板，切菜剁肉之墊板
砧枋狗,聽到砧板聲，就跑過來的狗。諷喻逐利的人。
揕人,以拳打人
撍印仔,蓋印章
增志,爭氣，有志氣
爭差,1.差別。2.變差。
招老弟,接我之後媽媽所生的男兒，是我所招的弟弟
朝晨頭,早晨
走腥,指動物發情
走大水,1.逃避水患。2.指家禽罹患瘟疫
走過,跑過了頭
走到尾瀉屎,嚇跑了，猶言「嚇得屁滾尿流」
至極,到極點。猶…之最、…之極
置腹,知己
紙伯,厚紙板
紙票,鈔票
紙鷂仔,風箏、紙鳶
紙炮仔,鞭炮
汁桶,盛裝溲水的桶子
執性,固執的個性
執作,權勢、魄力、執行力
針鼻,針孔
針頭線尾,指針黹之事
針無雙頭利,沒有兩頭都尖銳的針，喻人再聰明能幹，也有不能兼顧之處
斟茶,把壺中之茶倒於杯中
正經,1.真正。2.正在持續進行中。
正餐,一天裡的三餐為正餐，其餘為點心
做嬌,撒嬌
做下,全部。應是「做一下」的省略
做手,舞弊
做得,可以
做盡,全部
做寒,寒流來襲
做生理,經商，做生意
做起工,開工時以牲品祭神並宴請工人
做話仔,杜撰言詞來搪塞責任或敷衍他人
做麼个,做什麼，「麼」字受後字之聲母影響常發成màg音
做無出處,做不出什麼名堂
做媒人打出本,喻出錢出力給人家做事
灶下,廚房
灶頭,即灶
灶頭背打餔娘,歇後語，灶頭背打娘‧出手毋得。喻沒有用武之地
糟腸扡肚,腸胃中缺乏油脂想吃肉的感覺
糟狼酒狽,謂狼狽不堪貌
早上,早先，指先前時刻。又說「上早」
早季,台灣中、北部的農耕分兩期，上半年為一期，稱「早季」
早三朝當一工,早起三天勝過一工，勸人早起勤奮工作
左捭犁,左撇子
心,喻甜過度，如「甜到心」。也說（zòdxím）
桌心,放在桌子中央的主菜
桌桱,支撐桌腳的橫木
斫柴,砍木柴做燃料
著衫褲,穿衣服
著共條褲,喻一起成長或志同道合的人
作渴,感到口渴
捉包,拆穿人的陰謀
捉猴,喻捉姦
捉猴入山,喻做事反其道而行
捉貓子看貓嫲,諺語，捉貓子看貓嫲，討心舅看爺娘。孩子的品種來自於父母，欲知其好壞，觀其父母便得知
嘴扁,想哭的樣子
嘴碼,開口與人說話問候的態度
嘴擘擘,口張開的樣子。引申為失望的樣子
嘴勺勺仔,聽或看得入神的樣子
嘴甜舌滑,油腔滑調，善於說好聽的話
嘴硬尸胐冇,嘴巴說得斬釘截鐵的，做的時候卻不那麼一回事。喻光說不練
朘子,罵人愚笨
錐人,敲詐人
鑽泥空,喻死掉了。也說「囥泥空」
磚頭磚截,斷裂的磚塊
轉水,如糖鹽等結晶體受潮變液體的現象
轉來,回來
轉屋,回家
轉夜,傍晚放工回家
轉酒,醉酒嘔吐
轉擺,1.下一次。2.中場休息
轉妹家,回娘家。女子未嫁時還是人家的「妹仔」，出嫁後就成為人家的媳婦、孩子的娘，故稱「娘家」為「妹家」
轉長山,回大陸原鄉，指歸天
壯旺,壯盛，強健
莊頭,村莊
長黍仔,青春痘
掌牛,牧牛或看管牛
掌屋,看家
掌更,值夜
掌牛哥仔,牧童
註文,預購，訂購，預約
咒過罵絕,詛咒人橫屍野外，連毛髮也化滅；詈罵人斷滅後嗣，連子孫都滅絕。
咒上咒下咒自家,喜歡詛咒他人者，終究自己遭殃
豬紅,豬血。「血」與「歇」同音，歇是「停止」之義。為避諱，改以「紅」稱之，血是紅色，紅表吉祥。
豬利,豬舌。因「舌」與「蝕」同音，生意人忌諱「蝕本」，而以吉利之話來說，故改說「利」
豬哥,1.公的種豬。2.喻好色之徒
豬狗,罵人似禽獸
豬嫲,母豬
豬欄,豬圈，豬舍
豬小肚,豬膀胱
豬哥牙,乳牙未脫，其旁所斜生的永久齒
豬旺仔,豬血。「血」與「歇」客語同音，歇是「停止」之義，生意人諱言之，而以吉利之話「旺」來說，冀其興旺之意也。也作「豬衁仔」。
豬腰仔,豬的腎臟
豬接杓,餵豬時，豬隻搶食杓中食物的情形，喻搶嘴說話的行為
豬膽肝,醃漬後曬乾的豬肝
豬籠粄,客家米食的一種，捏成豬籠形內包餡的粄食。即「菜包」、「菜包粄」
豬腸炒薑絲,客家菜的一種，是把豬大腸和薑絲、蒜在熱鍋中一起炒，再配上一點醋等佐料而成
主顧,時常光顧的主要顧客
主人打幫客,主人趁宴客的機會，慰勞一下自己
拄固,1.牢固。2.引申為強壯
阻阻隔隔,很多障礙
祖公業,祖宗留傳的產業，習俗上子孫必須一直留守下去
竹笐,竹筒
竹棑,竹筏
竹蔗仔,植物名，即白甘蔗，多用於製糖
粥水,飯湯，或稀飯湯
醉摸摸仔,形容很醉
贅水,1.水滴於紙而擴散的樣子。2.身體上某部位浮腫的樣子
錐錐,形容凸起尖尖的形狀
觜人,鳥類以嘴啄人
圳溝,水溝
圳底牛,歇後語，圳底牛•兩片食。喻左右逢源
撙螺絲,拴緊或取下螺絲
準堵好,姑且如此
準飯食,當作飯吃
中意,合意
種觔斗,翻觔斗
種崩崗,跌入懸崖或跳崖自殺
粽擐,用來綑綁粽子的繩子，多條綁在一起，擰成一個提把
中人,仲介之人
舂臼,舂米之臼
舂粢打粄,製作各種糕餅米食，形容準備慶典之熱鬧情況
蹖上跌落,形容忙裡忙外，沒得安寧的樣子
蹖頭磕額,形容忙碌奔波，忙得灰頭土臉的樣子
種草,指品種
總下,全部
